GRB,z,Ep_keV,Sbolo_10^-5_erg/cm^2
080916C,4.35,6953.87±1188.77,10.40±0.24
090323,3.57,2060.09±138.07,15.76±0.39
090328,0.736,1221.71±81.87,7.99±0.20
090424,0.544,236.91±4.55,5.72±0.09
090902B,1.822,2146.57±21.71,39.05±0.22
090926A,2.1062,868.63±13.85,17.90±0.13
091003A,0.8969,857.81±33.08,4.43±0.08
091127,0.49,60.32±1.93,2.25±0.04
091208B,1.063,202.63±20.10,0.75±0.04
100414A,1.368,1370.82±27.68,11.88±0.16
100728A,1.567,797.62±18.05,11.74±0.17
110721A,3.512,8675.78±852.66,6.14±0.09
120624B,2.2,1214.47±26.24,20.49±0.25
130427A,0.3399,294.25±5.86,31.72±0.20
130518A,2.49,1601.40±32.19,11.40±0.11
131108A,2.40,1163.20±28.54,4.85±0.05
131231A,0.6439,370.15±4.97,17.42±0.12
141028A,2.33,1320.18±50.90,4.89±0.06
150314A,1.758,985.66±13.20,9.20±0.12
150403A,2.06,2428.51±160.80,8.10±0.17
150514A,0.807,137.84±14.93,0.71±0.03
160509A,1.17,19334.10±652.25,49.91±1.36
160625B,1.406,1546.86±37.25,83.54±1.16
170214A,2.53,2119.788±119.06,22.40±0.29
170405A,3.51,1424.42±35.24,9.24±0.09
971214,3.42,685.0±133.0,0.87±0.11
990123,1.6,1724.0±466.0,35.80±5.80
990510,1.619,423.0±42.0,2.60±0.40
000131,4.5,987.0±416.0,4.70±0.80
000926,2.07,310.0±20.0,2.60±0.60
010222,1.48,766.00±30.0,14.6±1.50
011211,2.14,186.0±24.0,0.50±0.06
020124,3.2,448.0±148.0,1.20±0.10
021004,2.3,266.0±117.0,0.27±0.04
030226,1.98,289.0±66.0,1.30±0.10
030323,3.37,270.0±113.0,0.12±0.04
030328,1.52,328.00±55.0,6.40±0.60
030429,2.65,128.0±26.0,0.14±0.02
040912,1.563,44.00±33.0,0.21±0.06
050318,1.44,115.00±25.0,0.42±0.03
050401,2.9,467.0±110.0,1.90±0.40
050603,2.821,1333.0±107.0,3.50±0.20
050820,2.612,1325.0±277.0,6.40±0.50
050904,6.29,3178±1094.0,2.00±0.20
050922C,2.198,415.0±111.0,0.47±0.16
051109A,2.346,539.0±200.0,0.51±0.05
060115,3.53,285.0±34.0,0.25±0.04
060124,2.296,784.0±285.0,3.40±0.50
060206,4.048,394.0±46.0,0.14±0.03
060418,1.489,572.00±143.0,2.30±0.50
060526,3.21,105.0±21.0,0.12±0.06
060707,3.425,279.0±28.0,0.23±0.04
060908,2.43,514.0±102.0,0.73±0.07
060927,5.6,475.0±47.0,0.27±0.04
070125,1.547,934.00±148.0,13.30±1.30
071003,1.604,2077±286,5.32±0.590
071020,2.145,1013.0±160.0,0.87±0.40
080319C,1.95,906.0±272.0,1.50±0.30
080413,2.433,584.0±180.0,0.56±0.14
080514B,1.8,627.0±65.0,2.027±0.48
080603B,2.69,376.0±100.0,0.64±0.058
080605,1.6398,650.0±55.0,3.40±0.28
080607,3.036,1691.0±226.0,8.96±0.48
080721,2.591,1741.0±227.0,7.86±1.37
080810,3.35,1470.0±180.0,1.82±0.20
080913,6.695,710.0±350.0,0.12±0.035
081008,1.9685,261.0±52.0,0.96±0.09
081028,3.038,234.0±93.0,0.81±0.095
081118,2.58,147.0±14.0,0.27±0.057
081121,2.512,47.23±1.08,1.71±0.33
081222,2.77,505.0±34.0,1.67±0.17
090102,1.547,1149.00±166.0,3.48±0.63
090418,1.608,1567±384,2.35±0.59
090423,8.2,491.0±200.0,0.12±0.032
090516,4.109,971.0±390.0,1.96±0.38
090715B,3.0,536.0±172.0,1.09±0.17
090812,2.452,2000.0±700.0,3.08±0.53
091020,1.71,280.0±190.0,0.11±0.034
091029,2.752,230.0±66.0,0.47±0.044
100413,3.9,1783.60±374.85,2.36±0.77
100621,0.54,146.49±23.9,5.75±0.64
100704,3.6,809.60±135.70,0.70±0.07
100814,1.44,312.32±48.8,1.39±0.23
100906,1.73,387.23±244.07,3.56±0.55
110205,2.22,740.60±322.0,3.32±0.68
110213,1.46,223.86±70.11,1.55±0.23
110422,1.77,421.04±13.85,9.32±0.02
110503,1.61,572.25±50.95,2.76±0.21
110715,0.82,218.40±20.93,2.73±0.24
110731,2.83,1164.32±49.79,2.51±0.01
110818,3.36,1117.47±241.11,1.05±0.08
111008,5.0,894.00±240.0,1.06±0.11
111107,2.89,420.44±124.58,0.18±0.03
111209,0.68,519.87±88.88,69.47±8.72
120119,1.73,417.38±54.56,4.62±0.59
120326,1.8,129.97±10.27,0.44±0.02
120724,1.48,68.45±18.60,0.15±0.02
120802,3.8,274.33±93.04,0.43±0.07
120811C,2.67,157.49±20.92,0.74±0.07
120909,3.93,1651.55±123.25,2.69±0.23
120922,3.1,156.62±0.04,1.59±0.18
121128,2.2,243.20±12.8,0.87±0.07
130215,0.6,247.54±100.61,4.84±0.12
130408,3.76,1003.94±137.98,0.99±0.17
130420A,1.3,128.63±6.89,1.73±0.06
130505,2.27,2063.37±101.37,4.56±0.09
130514,3.6,496.80±151.8,1.88±0.25
130606,5.91,2031.54±483.7,0.49±0.09
130610,2.09,911.83±132.65,0.82±0.05
130612,2.01,186.07±31.56,0.08±0.01
130701A,1.16,191.80±8.62,0.46±0.04
130831A,0.48,81.35±5.92,1.29±0.07
130907A,1.24,881.77±24.62,75.21±4.76
131030A,1.29,405.86±22.93,1.05±0.10
131105A,1.69,547.68±83.53,4.75±0.16
131117A,4.04,221.85±37.31,0.05±0.01
140206A,2.73,447.60±22.38,1.69±0.03
140213A,1.21,176.61±4.42,2.53±0.04